survey_year,age_bracket,tenure,sample_size,pct_fragile,avg_dti,pct_high_stress
2024,55-64,Owner (Outright),266,82,1.99,0
2024,65+,Owner (Outright),655,87.5,0.09,0
2024,55-64,Owner (Mortgage),248,0.8,0.23,0
2024,65+,Renting (Social),60,88.3,0.25,0
2024,65+,Owner (Mortgage),88,1.1,0.1,0
2024,25-34,Owner (Mortgage),292,0,3.49,0
2024,35-44,Owner (Mortgage),497,0.8,0.94,0
2024,35-44,Renting (Social),150,90,0.31,0
2024,45-54,Owner (Mortgage),414,0.5,0.68,0
2024,55-64,Renting (Social),56,82.1,0.18,0
2024,25-34,Owner (Outright),97,82.5,2.34,0
2024,45-54,Owner (Outright),88,75,0.34,0
2024,45-54,Renting (Private),51,72.5,0.19,0
2024,25-34,Renting (Private),80,68.8,0.08,0
2024,25-34,Renting (Social),208,83.7,0.41,0
2024,45-54,Renting (Social),73,90.4,0.21,0
2024,18-24,Renting (Social),120,77.5,1.21,0
2024,35-44,Renting (Private),65,78.5,0.24,0
2024,18-24,Owner (Mortgage),118,12.7,0.98,0
2024,18-24,Owner (Outright),55,72.7,0.33,0
2025,35-44,Owner (Mortgage),424,0,1.04,0
2025,55-64,Owner (Outright),258,85.3,0.22,0
2025,25-34,Owner (Mortgage),331,1.2,2.63,0
2025,45-54,Owner (Mortgage),432,1.6,0.69,0
2025,25-34,Owner (Outright),63,84.1,2.03,0
2025,65+,Owner (Mortgage),84,0,0.2,0
2025,65+,Owner (Outright),576,87.2,0.64,0
2025,35-44,Owner (Outright),56,71.4,0.06,0
2025,55-64,Renting (Social),55,70.9,0.09,0
2025,25-34,Renting (Social),236,86.4,2.33,0
2025,45-54,Owner (Outright),80,83.8,0.12,0
2025,55-64,Owner (Mortgage),233,0,0.71,0
2025,45-54,Renting (Social),93,86,0.13,0
2025,18-24,Renting (Private),54,64.8,1.35,0
2025,35-44,Renting (Private),73,71.2,0.65,0
2025,45-54,Renting (Private),59,72.9,0.02,0
2025,35-44,Renting (Social),125,77.6,0.59,0
2025,25-34,Renting (Private),65,66.2,2.22,0
2025,18-24,Owner (Outright),63,84.1,0.3,0
2025,18-24,Renting (Social),109,76.1,0.96,0
2025,18-24,Owner (Mortgage),121,11.6,0.78,0
2025,65+,Renting (Social),64,79.7,0.19,0
